#Axis Positions measured on: 2021 Oct 08 13:26:41
#Master Time	Ticks	Azimuth
28.0	-220710.0	0.0
28.0	-220960.0	0.0
28.0	-221210.0	0.0
29.0	-221444.0	0.0
29.0	-221696.0	0.0
29.0	-221945.0	0.0
29.0	-222196.0	0.0
30.0	-222462.0	0.0
30.0	-222712.0	0.0
30.0	-222964.0	0.0
30.0	-223213.0	0.0
31.0	-223453.0	0.0
31.0	-223705.0	0.0
31.0	-223964.0	0.0
31.0	-224204.0	0.0
32.0	-224442.0	0.0
32.0	-224693.0	0.0
32.0	-224943.0	0.0
32.0	-225193.0	0.0
33.0	-225476.0	0.0
33.0	-225726.0	0.0
33.0	-225979.0	0.0
33.0	-226228.0	0.0
34.0	-226461.0	0.0
34.0	-226713.0	0.0
34.0	-226963.0	0.0
34.0	-227211.0	0.0
35.0	-227459.0	0.0
35.0	-227710.0	0.0
35.0	-227964.0	0.0
35.0	-228209.0	0.0
36.0	-228454.0	0.0
36.0	-228706.0	0.0
36.0	-228954.0	0.0
36.0	-229210.0	0.0
37.0	-229466.0	0.0
37.0	-229725.0	0.0
37.0	-229967.0	0.0
37.0	-230219.0	0.0
38.0	-230452.0	0.0
38.0	-230705.0	0.0
38.0	-230952.0	0.0
38.0	-231203.0	0.0
39.0	-231443.0	0.0
39.0	-231704.0	0.0
39.0	-231950.0	0.0
39.0	-232196.0	0.0
40.0	-232457.0	0.0
40.0	-232708.0	0.0
40.0	-232957.0	0.0
40.0	-233207.0	0.0
41.0	-233482.0	0.0
41.0	-233732.0	0.0
41.0	-233983.0	0.0
41.0	-234235.0	0.0
42.0	-234442.0	0.0
42.0	-234693.0	0.0
42.0	-234944.0	0.0
42.0	-235193.0	0.0
43.0	-235457.0	0.0
43.0	-235709.0	0.0
43.0	-235958.0	0.0
43.0	-236209.0	0.0
44.0	-236461.0	0.0
44.0	-236711.0	0.0
44.0	-236962.0	0.0
44.0	-237213.0	0.0
45.0	-237461.0	0.0
45.0	-237712.0	0.0
45.0	-237961.0	0.0
45.0	-238212.0	0.0
46.0	-238446.0	0.0
46.0	-238697.0	0.0
46.0	-238948.0	0.0
46.0	-239196.0	0.0
47.0	-239455.0	0.0
47.0	-239705.0	0.0
47.0	-239957.0	0.0
47.0	-240207.0	0.0
48.0	-240448.0	0.0
48.0	-240699.0	0.0
48.0	-240950.0	0.0
48.0	-241199.0	0.0
49.0	-241467.0	0.0
49.0	-241719.0	0.0
49.0	-241967.0	0.0
49.0	-242218.0	0.0
50.0	-242462.0	0.0
50.0	-242712.0	0.0
50.0	-242964.0	0.0
50.0	-243212.0	0.0
51.0	-243455.0	0.0
51.0	-243705.0	0.0
51.0	-243957.0	0.0
51.0	-244214.0	0.0
52.0	-244468.0	0.0
52.0	-244719.0	0.0
52.0	-244970.0	0.0
52.0	-245220.0	0.0
53.0	-245452.0	0.0
53.0	-245702.0	0.0
53.0	-245952.0	0.0
53.0	-246202.0	0.0
54.0	-246449.0	0.0
54.0	-246699.0	0.0
54.0	-246953.0	0.0
54.0	-247202.0	0.0
55.0	-247469.0	0.0
55.0	-247733.0	0.0
55.0	-247970.0	0.0
55.0	-248228.0	0.0
56.0	-248460.0	0.0
56.0	-248711.0	0.0
56.0	-248962.0	0.0
56.0	-249218.0	0.0
57.0	-249469.0	0.0
57.0	-249721.0	0.0
57.0	-249971.0	0.0
57.0	-250220.0	0.0
58.0	-250453.0	0.0
58.0	-250704.0	0.0
58.0	-250954.0	0.0
58.0	-251204.0	0.0
59.0	-251452.0	0.0
59.0	-251703.0	0.0
59.0	-251954.0	0.0
59.0	-252204.0	0.0
60.0	-252457.0	0.0
60.0	-252708.0	0.0
60.0	-252965.0	0.0
60.0	-253208.0	0.0
61.0	-253445.0	0.0
61.0	-253697.0	0.0
61.0	-253949.0	0.0
61.0	-254196.0	0.0
62.0	-254446.0	0.0
62.0	-254707.0	0.0
62.0	-254947.0	0.0
62.0	-255197.0	0.0
63.0	-255457.0	0.0
63.0	-255708.0	0.0
63.0	-255959.0	0.0
63.0	-256208.0	0.0
64.0	-256446.0	0.0
64.0	-256696.0	0.0
64.0	-256947.0	0.0
64.0	-257197.0	0.0
65.0	-257453.0	0.0
65.0	-257704.0	0.0
65.0	-257956.0	0.0
65.0	-258205.0	0.0
66.0	-258472.0	0.0
66.0	-258723.0	0.0
66.0	-258974.0	0.0
66.0	-259223.0	0.0
67.0	-259445.0	0.0
67.0	-259695.0	0.0
67.0	-259946.0	0.0
67.0	-260197.0	0.0
68.0	-260458.0	0.0
68.0	-260709.0	0.0
68.0	-260960.0	0.0
68.0	-261209.0	0.0
69.0	-261448.0	0.0
69.0	-261710.0	0.0
69.0	-261953.0	0.0
69.0	-262199.0	0.0
70.0	-262485.0	0.0
70.0	-262750.0	0.0
70.0	-262986.0	0.0
70.0	-263235.0	0.0
71.0	-263450.0	0.0
71.0	-263702.0	0.0
71.0	-263951.0	0.0
71.0	-264201.0	0.0
72.0	-264464.0	0.0
72.0	-264716.0	0.0
72.0	-264965.0	0.0
72.0	-265214.0	0.0
73.0	-265442.0	0.0
73.0	-265692.0	0.0
73.0	-265944.0	0.0
73.0	-266192.0	0.0
74.0	-266459.0	0.0
74.0	-266710.0	0.0
74.0	-266960.0	0.0
74.0	-267211.0	0.0
75.0	-267461.0	0.0
75.0	-267712.0	0.0
75.0	-267963.0	0.0
75.0	-268211.0	0.0
76.0	-268443.0	0.0
76.0	-268693.0	0.0
76.0	-268945.0	0.0
76.0	-269202.0	0.0
77.0	-269451.0	0.0
77.0	-269703.0	0.0
77.0	-269951.0	0.0
77.0	-270214.0	0.0
78.0	-270452.0	0.0
78.0	-270703.0	0.0
78.0	-270953.0	0.0
78.0	-271204.0	0.0
79.0	-271449.0	0.0
79.0	-271701.0	0.0
79.0	-271950.0	0.0
79.0	-272202.0	0.0
80.0	-272485.0	0.0
80.0	-272737.0	0.0
80.0	-272997.0	0.0
80.0	-273248.0	0.0
81.0	-273466.0	0.0
81.0	-273716.0	0.0
81.0	-273978.0	0.0
81.0	-274218.0	0.0
82.0	-274461.0	0.0
82.0	-274712.0	0.0
82.0	-274962.0	0.0
82.0	-275213.0	0.0
83.0	-275448.0	0.0
83.0	-275698.0	0.0
83.0	-275959.0	0.0
83.0	-276199.0	0.0
84.0	-276484.0	0.0
84.0	-276735.0	0.0
84.0	-276986.0	0.0
84.0	-277236.0	0.0
85.0	-277443.0	0.0
85.0	-277693.0	0.0
85.0	-277944.0	0.0
85.0	-278193.0	0.0
86.0	-278453.0	0.0
86.0	-278703.0	0.0
86.0	-278955.0	0.0
86.0	-279205.0	0.0
87.0	-279455.0	0.0
87.0	-279707.0	0.0
87.0	-279957.0	0.0
87.0	-280208.0	0.0
88.0	-280456.0	0.0
88.0	-280716.0	0.0
88.0	-280957.0	0.0
88.0	-281206.0	0.0
89.0	-281442.0	0.0
89.0	-281693.0	0.0
89.0	-281943.0	0.0
89.0	-282193.0	0.0
90.0	-282450.0	0.0
90.0	-282702.0	0.0
90.0	-282950.0	0.0
90.0	-283213.0	0.0
91.0	-283474.0	0.0
91.0	-283725.0	0.0
91.0	-283983.0	0.0
91.0	-284225.0	0.0
92.0	-284449.0	0.0
92.0	-284710.0	0.0
92.0	-284951.0	0.0
92.0	-285210.0	0.0
93.0	-285478.0	0.0
93.0	-285730.0	0.0
93.0	-285979.0	0.0
93.0	-286230.0	0.0
94.0	-286470.0	0.0
94.0	-286734.0	0.0
94.0	-286973.0	0.0
94.0	-287226.0	0.0
95.0	-287444.0	0.0
95.0	-287697.0	0.0
95.0	-287946.0	0.0
95.0	-288195.0	0.0
96.0	-288455.0	0.0
96.0	-288707.0	0.0
96.0	-288960.0	0.0
96.0	-289206.0	0.0
97.0	-289461.0	0.0
97.0	-289712.0	0.0
97.0	-289962.0	0.0
97.0	-290212.0	0.0
98.0	-290460.0	0.0
98.0	-290711.0	0.0
98.0	-290962.0	0.0
98.0	-291211.0	0.0
99.0	-291455.0	0.0
99.0	-291705.0	0.0
99.0	-291956.0	0.0
99.0	-292207.0	0.0
100.0	-292447.0	0.0
100.0	-292697.0	0.0
100.0	-292947.0	0.0
100.0	-293198.0	0.0
101.0	-293454.0	0.0
101.0	-293705.0	0.0
101.0	-293955.0	0.0
101.0	-294204.0	0.0
102.0	-294470.0	0.0
102.0	-294721.0	0.0
102.0	-294971.0	0.0
102.0	-295222.0	0.0
103.0	-295449.0	0.0
103.0	-295701.0	0.0
103.0	-295950.0	0.0
103.0	-296199.0	0.0
104.0	-296454.0	0.0
104.0	-296704.0	0.0
104.0	-296954.0	0.0
104.0	-297206.0	0.0
105.0	-297442.0	0.0
105.0	-297692.0	0.0
105.0	-297943.0	0.0
105.0	-298193.0	0.0
106.0	-298458.0	0.0
106.0	-298710.0	0.0
106.0	-298958.0	0.0
106.0	-299208.0	0.0
107.0	-299443.0	0.0
107.0	-299693.0	0.0
107.0	-299945.0	0.0
107.0	-300194.0	0.0
108.0	-300447.0	0.0
108.0	-300699.0	0.0
108.0	-300947.0	0.0
108.0	-301199.0	0.0
109.0	-301454.0	0.0
109.0	-301704.0	0.0
109.0	-301954.0	0.0
109.0	-302206.0	0.0
110.0	-302447.0	0.0
110.0	-302697.0	0.0
110.0	-302948.0	0.0
110.0	-303198.0	0.0
111.0	-303455.0	0.0
111.0	-303707.0	0.0
111.0	-303956.0	0.0
111.0	-304206.0	0.0
112.0	-304447.0	0.0
112.0	-304698.0	0.0
112.0	-304948.0	0.0
112.0	-305197.0	0.0
113.0	-305448.0	0.0
113.0	-305699.0	0.0
113.0	-305949.0	0.0
113.0	-306199.0	0.0
114.0	-306448.0	0.0
114.0	-306700.0	0.0
114.0	-306949.0	0.0
114.0	-307198.0	0.0
115.0	-307465.0	0.0
115.0	-307718.0	0.0
115.0	-307967.0	0.0
115.0	-308217.0	0.0
116.0	-308454.0	0.0
116.0	-308705.0	0.0
116.0	-308955.0	0.0
116.0	-309205.0	0.0
0.0	0.0	0.0
